Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,Daily_Return,Cumulative_Return,Volatility_30,Daily_Range,Year,Month,Month_Name,Quarter,Day_of_Week,Week_Number,Trend,RSI_Signal,MACD_Signal_Flag
2020-03-03,11303.2998046875,11342.25,11152.5498046875,11217.5498046875,696500,11887.78759765625,,,11777.665670773067,11974.819033014117,11887.78759765625,331.5640998345658,12550.915797325382,11224.659397987118,1326.2563993382646,24.842089577942673,-206.23870702410022,-117.14140501339376,-89.09730201070646,1.5319647408546855,0.9278308889544431,1.1521282087645153,189.7001953125,2020,3,March,1,Tuesday,10,Downtrend,Oversold,Bearish
2020-03-04,11251.0,11356.599609375,11082.150390625,11351.349609375,797700,11851.355078125,,,11727.507035461345,11946.433972895917,11851.355078125,359.7713744714103,12570.89782706782,11131.81232918218,1439.0854978856405,19.507738977558688,-221.69456500792694,-138.05203701230042,-83.64252799562652,-0.46269501465237006,0.9235378616868462,1.152219597084442,274.44921875,2020,3,March,1,Wednesday,10,Downtrend,Oversold,Bearish
2020-03-05,11269.0,11389.5,11244.599609375,11306.0498046875,1352500,11810.34755859375,,,11683.839698750742,11919.867934743135,11810.34755859375,377.54273993680334,12565.433038467358,11055.262078720143,1510.1709597472145,20.777001903273387,-229.84152422593252,-156.40993445502684,-73.43158977090567,0.15998577904186018,0.9250153909296124,1.1535353592701665,144.900390625,2020,3,March,1,Thursday,10,Downtrend,Oversold,Bearish
2020-03-06,10989.4501953125,11035.099609375,10827.400390625,10942.650390625,1811000,11752.92255859375,,,11617.707365089958,11883.380964569385,11752.92255859375,410.957051799936,12574.836662193622,10931.008454993877,1643.8282071997455,18.210878679577746,-255.90546217265182,-176.30903999855184,-79.59642217409998,-2.4806975302821943,0.9020685569720913,1.2123266524813596,207.69921875,2020,3,March,1,Friday,10,Downtrend,Oversold,Bearish
2020-03-09,10451.4501953125,10751.5498046875,10294.4501953125,10742.0498046875,1565500,11670.577587890624,,,11506.635253682582,11827.22681675539,11670.577587890624,494.58780557409,12659.753199038805,10681.401976742443,1978.3512222963618,14.38401408745672,-316.32700373008083,-204.31263274485764,-112.0143709852232,-4.895604333595161,0.8579068496049663,1.457813992935768,457.099609375,2020,3,March,1,Monday,11,Downtrend,Oversold,Bearish
2020-03-11,10458.400390625,10545.099609375,10334.0,10334.2998046875,1218500,11591.922607421875,,,11406.803361962811,11773.547349064003,11591.922607421875,555.5036264975369,12702.929860416949,10480.915354426801,2222.014505990148,15.005261736881067,-359.50652066632574,-235.3514103291513,-124.15511033717445,0.06649981756232659,0.8584773560948084,1.4579177787973097,211.099609375,2020,3,March,1,Wednesday,11,Downtrend,Oversold,Bearish
2020-03-12,9590.150390625,10040.75,9508.0,10039.9501953125,1343500,11466.035107421874,11873.67203125,,11233.788793263971,11687.92393892914,11466.035107421874,699.1350665396284,12864.305240501131,10067.764974342617,2796.540266158514,6.679764243614926,-458.50179438371015,-279.9814871400631,-178.52030724364704,-8.301938801064711,0.787207091370819,2.0410419121403756,532.75,2020,3,March,1,Thursday,11,Downtrend,Oversold,Bearish
2020-03-13,9955.2001953125,10159.400390625,8555.150390625,9107.599609375,1388000,11353.735107421875,11829.12603515625,,11112.018450601925,11619.973988199075,11353.735107421875,753.1315537993888,12859.998215020652,9847.471999823098,3012.526215197555,17.264956442306627,-501.7163202056345,-324.3284537531774,-177.38786645245705,3.8065076126893693,0.8171721892314798,2.191734338189263,1604.25,2020,3,March,1,Friday,11,Downtrend,Oversold,Bearish
2020-03-16,9197.400390625,9602.2001953125,9165.099609375,9587.7998046875,897700,11204.872607421876,11767.4300390625,,10929.673873461266,11524.971102019701,11204.872607421876,867.8349418548299,12940.542491131535,9469.202723712217,3471.3397674193184,14.935649543840583,-590.3075562496742,-377.52427425247686,-212.78328199719738,-7.612100106679087,0.7549682241432385,2.5355681009468363,437.1005859375,2020,3,March,1,Monday,12,Downtrend,Oversold,Bearish
2020-03-17,8967.0498046875,9403.7998046875,8915.599609375,9285.400390625,935600,11047.552587890625,11702.23802734375,,10742.757295482812,11424.660462908634,11047.552587890625,973.2462806205749,12994.045149131774,9101.060026649475,3892.9851224822996,14.184131301866643,-671.3650379971459,-436.2924270014107,-235.0726109957352,-2.504518409052825,0.7360599059870719,2.5526607538806547,488.2001953125,2020,3,March,1,Tuesday,12,Downtrend,Oversold,Bearish
