Date,Close,High,Low,Open,Volume,Daily_Return,Daily_Range,Cumulative_Return,SMA_20,SMA_50
2021-07-29,15778.4501953125,15817.349609375,15737.7998046875,15762.7001953125,401600,0.4395444954646832,79.5498046875,1.2904965539385103,15784.100048828124,15679.36298828125
2021-07-30,15763.0498046875,15862.7998046875,15744.849609375,15800.599609375,400000,-0.0976039499086867,117.9501953125,1.2892369783284308,15788.2525390625,15696.50298828125
2021-08-02,15885.150390625,15892.900390625,15834.650390625,15874.900390625,244800,0.7746000136419795,58.25,1.2992234081384402,15796.400048828125,15710.7
2021-08-03,16130.75,16146.900390625,15914.349609375,15951.5498046875,341300,1.5460955882416139,232.55078125,1.3193106439330708,15811.220068359375,15729.36099609375
2021-08-04,16258.7998046875,16290.2001953125,16176.150390625,16195.25,427300,0.7938242467802281,114.0498046875,1.329783651714964,15833.24755859375,15750.36798828125
2021-08-05,16294.599609375,16349.4501953125,16210.2998046875,16288.9501953125,418200,0.22018725316477195,139.150390625,1.3327116658107092,15853.99501953125,15770.2309765625
2021-08-06,16238.2001953125,16336.75,16223.2998046875,16304.400390625,320100,-0.3461233501561467,113.4501953125,1.3280988395450835,15879.510009765625,15788.23798828125
2021-08-09,16258.25,16320.75,16179.0498046875,16281.349609375,240500,0.12347307242392969,141.7001953125,1.3297386839870964,15907.93251953125,15804.68998046875
2021-08-10,16280.099609375,16359.25,16202.25,16274.7998046875,288000,0.13439090538649445,157.0,1.3315257318437812,15937.30751953125,15818.6359765625
2021-08-11,16282.25,16338.75,16162.5498046875,16327.2998046875,277900,0.013208706805212245,176.2001953125,1.3317016091737364,15960.8025390625,15832.783984375
2021-08-12,16364.400390625,16375.5,16286.900390625,16303.650390625,280200,0.5045395484346349,88.599609375,1.3384205704591583,15986.325048828125,15848.54798828125
2021-08-13,16529.099609375,16543.599609375,16376.2998046875,16385.69921875,321900,1.0064482340847336,167.2998046875,1.3518910806551714,16016.57001953125,15865.32298828125
2021-08-16,16563.05078125,16589.400390625,16480.75,16518.400390625,254000,0.2054024277023725,108.650390625,1.3546678977547288,16048.5525390625,15883.17900390625
2021-08-17,16614.599609375,16628.55078125,16495.400390625,16545.25,297400,0.31122785775283823,133.150390625,1.3588840016325763,16091.6625,15900.43798828125
2021-08-18,16568.849609375,16701.849609375,16535.849609375,16691.94921875,251800,-0.275360231817956,166.0,1.3551421754955437,16138.5,15917.01298828125
2021-08-20,16450.5,16509.55078125,16376.0498046875,16382.5,350800,-0.7142898400624986,133.5009765625,1.345462532617577,16169.822509765625,15933.31599609375
2021-08-23,16496.44921875,16592.5,16395.69921875,16592.25,275600,0.27931806783987323,196.80078125,1.349220652567194,16201.84248046875,15948.48998046875
2021-08-24,16624.599609375,16647.099609375,16495.30078125,16561.400390625,275400,0.7768362083601765,151.798828125,1.3597018871270092,16241.849951171875,15964.99498046875
2021-08-25,16634.650390625,16712.44921875,16617.5,16654.0,265900,0.06045728309951315,94.94921875,1.360523925946219,16286.2599609375,15981.45099609375
2021-08-26,16636.900390625,16683.69921875,16603.400390625,16627.94921875,253500,0.013525983096518424,80.298828125,1.3607079501824666,16332.6349609375,15996.80400390625
2021-08-27,16705.19921875,16722.05078125,16565.599609375,16642.55078125,217400,0.41052615884800137,156.451171875,1.3662940122634901,16378.972412109375,16015.5569921875
2021-08-30,16931.05078125,16951.5,16764.849609375,16775.849609375,283500,1.3519836521704187,186.650390625,1.3847660839498759,16437.3724609375,16040.35
2021-08-31,17132.19921875,17153.5,16915.849609375,16947.5,464400,1.1880446175423387,237.650390625,1.4012177228757943,16499.72490234375,16069.3269921875
2021-09-01,17076.25,17225.75,17055.05078125,17185.599609375,301900,-0.326573477436376,170.69921875,1.396641717431744,16546.99990234375,16095.9219921875
2021-09-02,17234.150390625,17245.5,17059.69921875,17095.400390625,242400,0.9246783727399066,185.80078125,1.4095561613374985,16595.767431640626,16125.15
2021-09-03,17323.599609375,17340.099609375,17212.19921875,17262.44921875,261400,0.5190230833697296,127.900390625,1.4168720831879005,16647.217431640624,16157.88298828125
2021-09-06,17377.80078125,17429.55078125,17345.55078125,17399.349609375,228000,0.31287476677577253,84.0,1.4213051184136856,16704.1974609375,16189.63
2021-09-07,17362.099609375,17436.5,17287.0,17401.55078125,243400,-0.09035189246697772,149.5,1.4200209423414687,16759.38994140625,16219.665
2021-09-08,17353.5,17383.400390625,17254.19921875,17375.75,252700,-0.049530929832686255,129.201171875,1.419317592764908,16813.0599609375,16250.44099609375
2021-09-09,17369.25,17379.650390625,17302.69921875,17312.849609375,241500,0.09075978909154347,76.951171875,1.4206057624186406,16867.4099609375,16282.8569921875
2021-09-13,17355.30078125,17378.349609375,17269.150390625,17363.55078125,241100,-0.0803098507419775,109.19921875,1.4194648760512103,16916.95498046875,16315.5330078125
